State,FIPS,County,Population,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Latitude,Longitude,Wind Speed (mph)
AL,1001,Autauga,"54,571",594.436,9.952,604.388,32.536382,–86.644490,16.35
SC,45001,Abbeville,"25,417",490.484,20.508,510.992,34.213809,–82.460460,14.45
LA,22001,Acadia,"61,773",655.119,2.335,657.454,30.291497,–92.411037,15.4
VA,51001,Accomack,"33,164",449.496,860.542,"1,310.04",37.765944,–75.757807,20.72
ID,16001,Ada,"392,365","1,052.58",7.886,"1,060.46",43.447861,–116.244456,17.73
IA,19001,Adair,"7,682",569.271,1.003,570.274,41.328528,–94.478164,17
KY,21001,Adair,"18,656",405.283,7.117,412.4,37.105541,–85.281401,19.66
MO,29001,Adair,"25,607",567.324,2.112,569.436,40.190666,–92.603592,13.42
OK,40001,Adair,"22,683",573.477,3.576,577.053,35.8975,–94.651671,19.86
CO,8001,Adams,"441,603","1,167.65",16.243,"1,183.90",39.874325,–104.331872,16.05
ID,16003,Adams,"3,976","1,363.06",6.715,"1,369.77",44.884583,–116.431873,21.58
IL,17001,Adams,"67,103",855.202,16.136,871.338,39.986053,–91.194961,14.9
IN,18001,Adams,"34,387",339.028,0.938,339.966,40.745733,–84.936131,16.25
IA,19003,Adams,"4,029",423.439,2.067,425.506,41.021656,–94.696906,15.87
MS,28001,Adams,"32,297",462.407,25.141,487.548,31.486218,–91.351781,20.72
NE,31001,Adams,"31,364",563.272,0.958,564.23,40.520632,–98.500044,18
ND,38001,Adams,"2,343",987.619,1.094,988.713,46.096815,–102.533198,19.63
OH,39001,Adams,"28,550",583.867,2.381,586.248,38.841681,–83.474173,14.26
PA,42001,Adams,"101,407",518.668,3.12,521.788,39.869471,–77.217730,22.39
WA,53001,Adams,"18,728","1,924.98",4.874,"1,929.85",47.00484,–118.533308,21.86
WI,55001,Adams,"20,875",645.646,42.906,688.552,43.973763,–89.767223,15.93
VT,50001,Addison,"36,821",766.325,41.432,807.757,44.031248,–73.141581,17.58
SC,45003,Aiken,"160,099","1,071.03",9.562,"1,080.60",33.549317,–81.633870,17.23
MN,27001,Aitkin,"16,202","1,821.66",173.63,"1,995.29",46.602446,–93.419760,18.47
FL,12001,Alachua,"247,336",875.02,93.788,968.808,29.67574,–82.357221,22.81
NC,37001,Alamance,"151,131",423.943,10.794,434.737,36.041974,–79.399935,16.87
CA,6001,Alameda,"1,510,271",739.017,82.311,821.328,37.648081,–121.913304,19.78
CO,8003,Alamosa,"15,445",722.643,0.698,723.341,37.568442,–105.788041,19.13
NY,36001,Albany,"304,204",522.804,10.498,533.302,42.588271,–73.974014,22
WY,56001,Albany,"36,299","4,273.84",34.948,"4,308.79",41.665514,–105.721883,23.38
VA,51003,Albemarle,"98,970",720.698,5.419,726.117,38.024184,–78.553506,18.36
MI,26001,Alcona,"10,942",674.585,"1,116.00","1,790.58",44.682535,–82.834080,15.03
MS,28003,Alcorn,"37,057",400.038,1.323,401.361,34.886648,–88.581014,25.74
AK,2013,Aleutians East,"3,141","6,981.94","8,027.92","15,009.86",55.243722,–161.950749,17.42
AK,2016,Aleutians West [4],"5,561","4,390.28","9,726.16","14,116.44",51.959447,–178.338813,16.88
IL,17003,Alexander,"8,238",235.509,17.092,252.601,37.183683,–89.349506,27.11
NC,37003,Alexander,"37,198",259.994,3.656,263.65,35.920951,–81.177467,20.32
VA,51510,Alexandria [9],"139,966",15.027,0.44,15.467,38.818343,–77.082026,21.39
OK,40003,Alfalfa,"5,642",866.455,14.883,881.338,36.729703,–98.323445,19.18
MI,26003,Alger,"9,601",915.07,"4,132.67","5,047.74",47.080077,–86.564108,17.18
IA,19005,Allamakee,"14,330",639.082,19.689,658.771,43.274964,–91.382751,20.71
MI,26005,Allegan,"111,408",825.231,"1,008.06","1,833.29",42.595788,–86.634745,17.24
MD,24001,Allegany,"75,087",424.158,5.774,429.932,39.612309,–78.703108,13.54
NY,36003,Allegany,"48,946","1,029.31",5.079,"1,034.39",42.247894,–78.026176,20.03
NC,37005,Alleghany,"11,155",235.059,1.488,236.547,36.489356,–81.132299,18.47
VA,51005,Alleghany,"16,250",445.457,3.296,448.753,37.787905,–80.008669,19.43
PA,42003,Allegheny,"1,223,348",730.075,14.448,744.523,40.46892,–79.980920,17.22
IN,18003,Allen,"355,329",657.308,2.714,660.022,41.091855,–85.072230,15.61
KS,20001,Allen,"13,371",500.303,5.022,505.325,37.884229,–95.300945,14.24
